產業類別,公司代號,公司名稱,公司類別,公司年度資訊-員工福利費用(仟元),公司年度資訊-員工薪資費用(仟元),公司年度資訊-員工人數(人),公司年度資訊-平均員工福利費用(仟元/人),公司年度資訊-平均員工薪資費用-113年度(仟元/人),公司年度資訊-平均員工薪資費用-112年度(仟元/人),公司年度資訊-平均員工薪資費用-調整變動情形(%),公司年度資訊-每股盈餘(元/股),同產業公司-平均員工福利費用(仟元/人),同產業公司-平均員工薪資費用(仟元/人),同產業公司-平均每股盈餘(元/股)
"化學工業","1725","元禎","一般","91480","73827","91","1005","811","756 ","7.30 %","1.91","1125","949","2.00",
"化學工業","1726","永記","一般","707396","607469","730","969","832","801 ","3.90 %","5.28","1125","949","2.00",
"化學工業","1727","中華化","一般","229113","191230","264","868","724","625 ","15.80 %","0.51","1125","949","2.00",
"化學工業","1730","花仙子","一般","184912","155698","139","1330","1120","1075 ","4.20 %","3.95","1125","949","2.00",
"生技醫療業","1731","美吾華","一般","206482","177597","202","1022","879","832 ","5.60 %","1.30","1094","909","3.76",
"化學工業","1732","毛寶","一般","110605","93722","159","696","589","536 ","9.90 %","0.30","1125","949","2.00",
"生技醫療業","1733","五鼎","一般","487983","401283","668","731","601","554 ","8.50 %","1.28","1094","909","3.76",
"生技醫療業","1734","杏輝","一般","693974","548089","813","854","674","661 ","2.00 %","1.68","1094","909","3.76",
"化學工業","1735","日勝化","一般","218427","186639","201","1087","929","835 ","11.30 %","0.97","1125","949","2.00",
"運動休閒","1736","喬山","一般","1243296","1060672","1259","988","842","747 ","12.70 %","8.02","1038","894","5.72",
"食品工業","1737","臺鹽","一般","578883","491287","475","1219","1034","1020 ","1.40 %","1.86","1020","869","2.98",
"生技醫療業","1752","南光","一般","489398","411097","650","753","632","585 ","8.00 %","2.41","1094","909","3.76",
"生技醫療業","1760","寶齡富錦","一般","389167","327622","390","998","840","769 ","9.20 %","1.45","1094","909","3.76",
"生技醫療業","1762","中化生","一般","285372","229351","320","892","717","893 ","-19.70 %","0.95","1094","909","3.76",
"化學工業","1773","勝一","一般","632718","551951","453","1397","1218","1142 ","6.70 %","7.21","1125","949","2.00",
"化學工業","1776","展宇","一般","107804","91205","114","946","800","687 ","16.40 %","0.78","1125","949","2.00",
"生技醫療業","1783","和康生","一般","153074","130949","165","928","794","982 ","-19.10 %","2.13","1094","909","3.76",
"生技醫療業","1786","科妍","一般","127534","108913","108","1181","1008","942 ","7.00 %","3.51","1094","909","3.76",
"生技醫療業","1789","神隆","一般","811309","685553","749","1083","915","898 ","1.90 %","0.43","1094","909","3.76",
"生技醫療業","1795","美時","一般","1252315","776662","739","1695","1051","1084 ","-3.00 %","19.35","1094","909","3.76",
"玻璃陶瓷","1802","台玻","一般","2931855","2479218","3770","778","658","591 ","11.30 %","-0.54","779","653","-0.27",
"建材營造","1805","寶徠","一般","31817","27694","20","1591","1385","1124 ","23.20 %","2.96","1282","1101","2.65",
"玻璃陶瓷","1806","冠軍","一般","553092","436084","722","766","604","625 ","-3.40 %","0.31","779","653","-0.27",
"建材營造","1808","潤隆","一般","173377","99314","93","1864","1068","1156 ","-7.60 %","2.28","1282","1101","2.65",
"玻璃陶瓷","1809","中釉","一般","223941","192568","254","882","758","686 ","10.50 %","0.33","779","653","-0.27",
"玻璃陶瓷","1810","和成","一般","693163","585794","964","719","608","601 ","1.20 %","0.19","779","653","-0.27",
"玻璃陶瓷","1817","凱撒衛","一般","191637","155200","188","1019","826","770 ","7.30 %","4.37","779","653","-0.27",
"造紙工業","1903","士紙","一般","42244","34992","50","845","700","677 ","3.40 %","-0.08","1003","852","0.40",
"造紙工業","1904","正隆","一般","3683641","3153465","3660","1006","862","868 ","-0.70 %","0.55","1003","852","0.40",
"造紙工業","1905","華紙","一般","1977413","1657037","2086","948","794","776 ","2.30 %","-0.23","1003","852","0.40",
"造紙工業","1906","寶隆","一般","23015","19049","14","1644","1361","1270 ","7.20 %","0.25","1003","852","0.40",
"造紙工業","1907","永豐餘","投控","179028","171017","73","2452","2343","2380 ","-1.60 %","0.98","1003","852","0.40",
"造紙工業","1909","榮成","一般","947868","808373","987","960","819","812 ","0.90 %","-0.28","1003","852","0.40",
"鋼鐵工業","2002","中鋼","一般","15395384","12982141","9625","1600","1349","1294 ","4.30 %","0.13","1237","1029","0.69",
"鋼鐵工業","2006","東和鋼鐵","一般","2675214","2351066","2122","1261","1108","1098 ","0.90 %","6.13","1237","1029","0.69",
"鋼鐵工業","2007","燁興","一般","394962","281902","451","876","625","590 ","5.90 %","-2.04","1237","1029","0.69",
"鋼鐵工業","2008","高興昌","一般","147191","120635","214","688","564","568 ","-0.70 %","0.26","1237","1029","0.69",
"鋼鐵工業","2009","第一銅","一般","193194","159920","242","798","661","535 ","23.60 %","0.74","1237","1029","0.69",
"鋼鐵工業","2010","春源","一般","1263444","1012186","1465","862","691","675 ","2.40 %","1.65","1237","1029","0.69",
"鋼鐵工業","2012","春雨","一般","373024","318387","492","758","647","592 ","9.30 %","1.03","1237","1029","0.69",
"鋼鐵工業","2013","中鋼構","一般","930065","815364","456","2040","1788","1690 ","5.80 %","2.70","1237","1029","0.69",
"鋼鐵工業","2014","中鴻","一般","1182235","903916","1067","1108","847","849 ","-0.20 %","-0.62","1237","1029","0.69",
"鋼鐵工業","2015","豐興","一般","1230042","1042312","975","1262","1069","1043 ","2.50 %","4.26","1237","1029","0.69",
"鋼鐵工業","2017","官田鋼","一般","193697","157510","289","670","545","487 ","11.90 %","0.28","1237","1029","0.69",
"鋼鐵工業","2020","美亞","一般","352496","242268","343","1028","706","693 ","1.90 %","3.09","1237","1029","0.69",
"鋼鐵工業","2022","聚亨","一般","103928","88130","134","776","658","626 ","5.10 %","-0.49","1237","1029","0.69",
"鋼鐵工業","2023","燁輝","一般","1677239","1277159","1495","1122","854","803 ","6.40 %","-0.81","1237","1029","0.69",
"鋼鐵工業","2024","志聯","一般","102448","81738","145","707","564","524 ","7.60 %","0.16","1237","1029","0.69",
"鋼鐵工業","2025","千興","一般","51623","42027","73","707","576","530 ","8.70 %","-1.42","1237","1029","0.69",
"鋼鐵工業","2027","大成鋼","一般","879464","760423","1015","866","749","491 ","52.50 %","1.53","1237","1029","0.69",
